,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0711,0.51197535,0.34931245,0.46503186,0.4628897,0.29085812,0.62680674,0.65813583,0.8735032,0.6131121,0.4385413,0.4786421,0.35867208,0.42782313,0.47948235,0.2636072,0.30494305,0.27345568,0.014039171,0.6052574,0.8087212,0.30521184,0.23508254,0.73116326,0.40595502
sample_0712,0.4681906,0.29705912,0.38793853,0.46454108,0.29402328,0.5249126,0.6948882,0.8224506,0.6145857,0.4197449,0.2829107,0.3617501,0.427826,0.4800534,0.25245452,0.30496073,0.2734108,0.013583507,0.6040776,0.50267434,0.29956043,0.29282823,0.39615822,0.23284662
sample_0713,0.4687452,0.35546926,0.38880932,0.4640498,0.29326046,0.52660614,0.67332286,0.83148545,0.6145383,0.42052877,0.29683805,0.361569,0.42782587,0.4799838,0.253187,0.30496025,0.27340567,0.00805512,0.60409355,0.5873269,0.29996458,0.2873788,0.4105708,0.24430382
sample_0714,0.46778083,0.29812685,0.384493,0.46526012,0.29401207,0.5228647,0.7193547,0.80621225,0.61464876,0.41898188,0.26344866,0.36195928,0.42782602,0.48016906,0.25132105,0.30496114,0.27339572,0.013212013,0.6040572,0.42041886,0.29909232,0.3011182,0.3237003,0.21576074
sample_0715,0.5052624,0.3959024,0.45328152,0.46439582,0.28945476,0.5944757,0.66770744,0.8243482,0.6135563,0.43367547,0.44104177,0.35931677,0.42782387,0.4795384,0.26943213,0.30494592,0.27399373,0.018137397,0.6049666,0.7385173,0.30417866,0.246095,0.9055228,0.36897087
sample_0716,0.4691372,0.4152459,0.38982728,0.46602914,0.29024643,0.5279665,0.6622489,0.840777,0.6144978,0.42112368,0.30848587,0.36139494,0.42782593,0.4799324,0.25393,0.30496004,0.27339655,0.010245693,0.60412556,0.65354717,0.30034763,0.283493,0.48567283,0.2532144
sample_0717,0.49368796,0.31934473,0.44843388,0.46363726,0.29062596,0.5795102,0.6783437,0.8394825,0.6138134,0.43210647,0.41147166,0.35988608,0.42782438,0.47959253,0.26373392,0.30494866,0.27362204,0.009291719,0.6048063,0.66693664,0.303146,0.25446588,0.7989152,0.34371266
sample_0718,0.5048004,0.34358612,0.45823243,0.4645205,0.2897626,0.59755653,0.6618366,0.86118734,0.61332726,0.43604797,0.46224296,0.35893396,0.42782262,0.47950518,0.27576742,0.30494583,0.27354556,0.018018585,0.60527915,0.781247,0.3048195,0.23998106,0.7692116,0.3889015
sample_0719,0.46839446,0.31098947,0.3874368,0.46513772,0.29318,0.5250459,0.68859315,0.8329985,0.61458385,0.41969264,0.28444147,0.3617192,0.42782602,0.48004812,0.25182828,0.30496058,0.2734167,0.009554308,0.60407317,0.5234407,0.29964304,0.29228562,0.36630058,0.23350453
sample_0720,0.49646235,0.40287632,0.467327,0.46473607,0.28929344,0.58206975,0.66236657,0.8626988,0.613457,0.4349548,0.45189416,0.35909066,0.42782238,0.47952184,0.2710104,0.304946,0.27341998,0.014295446,0.60509974,0.7754681,0.30458242,0.24294937,0.97858804,0.37826413
