,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_1417,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596153,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1418,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1419,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1420,0.045212097,0.08114427,0.12739874,0.23952198,0.026352217,0.16057533,0.13362677,0.2087053,0.10260428,0.16561285,0.12140169,0.024835525,0.09127345,0.21829821,0.019904245,0.08588752,0.29919353,0.00949285,0.25291783,0.15831758,0.29721093,0.123395726,0.38420865,0.22316854
sample_1421,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1422,0.17650145,0.078863025,0.088153794,0.23657149,0.07450175,0.062392294,0.13337305,0.20560744,0.101348646,0.16462342,0.12248742,0.024530595,0.7213575,0.21658036,0.031118196,0.17537719,0.3000115,0.002286151,0.25106248,0.16085763,0.2974308,0.12283656,0.3996877,0.22196323
sample_1423,0.040101215,0.07910107,0.10740292,0.2382401,0.06533575,0.12537654,0.13351613,0.20767386,0.102075815,0.16519257,0.121864595,0.024704058,0.41617665,0.2175715,0.024633417,0.012851603,0.29941446,0.008283637,0.25166622,0.15943228,0.29730675,0.12315451,0.3922414,0.22265853
sample_1424,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1425,0.05868166,0.081563644,0.12874256,0.23962407,0.01724285,0.16609575,0.13364884,0.20887737,0.10269506,0.16566285,0.12132057,0.024859114,0.049466036,0.21842445,0.018895086,0.0965862,0.2991154,0.010202833,0.25316286,0.15809825,0.2971937,0.12343607,0.38311705,0.22325613
sample_1426,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1427,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1428,0.012632903,0.080336824,0.1189625,0.2387966,0.038363032,0.14573832,0.13357481,0.20860451,0.10235078,0.16541617,0.12162118,0.024774056,0.22805196,0.21795139,0.022276029,0.02384685,0.29930118,0.00859337,0.2522599,0.15884043,0.29725543,0.12328084,0.3876446,0.22292432
sample_1429,0.016569473,0.08112593,0.12081405,0.23808315,0.0232789,0.14242716,0.1335726,0.20830457,0.10230975,0.16565587,0.121647425,0.024769632,0.23942038,0.21790177,0.022293339,0.025384955,0.29934478,0.008494904,0.2521568,0.15886079,0.2972575,0.123265356,0.3875155,0.22288676
sample_1430,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1431,0.029998563,0.078899354,0.11675577,0.23946136,0.042285994,0.114516415,0.13351975,0.20784591,0.102122255,0.16525275,0.121807344,0.024723291,0.36486423,0.21764097,0.024522532,0.0024822056,0.3009721,0.003956019,0.2516325,0.15934289,0.2972883,0.12322414,0.38959864,0.22272082
sample_1432,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1433,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1434,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1435,0.16080678,0.07784439,0.09005831,0.23788807,0.115082815,0.078112036,0.13340494,0.20805998,0.10156515,0.16497861,0.12231353,0.024574902,0.72296333,0.21686624,0.02680621,0.06226319,0.30001357,0.0032463446,0.2499217,0.160535,0.29740018,0.12293563,0.39180094,0.22217044
sample_1436,0.060733106,0.0815578,0.1293073,0.23970385,0.01710875,0.16793922,0.1336548,0.20892838,0.102721065,0.165682,0.12129883,0.024864998,0.040994626,0.21845962,0.01881663,0.10011852,0.29907578,0.010517067,0.2532201,0.15804073,0.2971896,0.12344692,0.38276643,0.22328089
sample_1437,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1438,0.22529227,0.07255033,0.091833934,0.23744944,0.16653031,0.062023066,0.13327649,0.20550874,0.10100999,0.16434994,0.12280253,0.024432471,0.91400635,0.21609615,0.033957127,0.1854406,0.30130893,0.0067648785,0.24881802,0.1617835,0.29750207,0.12271756,0.4039171,0.22164625
sample_1439,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
